person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,age_group,loan_amnt_group,income_group,loan_to_income,loan_to_emp_length_ratio,int_rate_to loan_amnt_ratio
24,12000,OWN,4.0,VENTURE,2500,12.69,1,0.21,N,3,18-30,small,low,0.20833333333333334,0.0016,0.005076
26,300000,MORTGAGE,10.0,VENTURE,20000,7.88,0,0.07,N,4,18-30,very large,high,0.06666666666666667,0.0005,0.000394
23,300000,OWN,1.0,EDUCATION,24250,19.41,0,0.08,Y,2,18-30,very large,high,0.08083333333333333,4.1237113402061855e-05,0.0008004123711340207
26,300000,OWN,9.0,HOMEIMPROVEMENT,10000,10.38,0,0.03,N,4,18-30,medium,high,0.03333333333333333,0.0009,0.001038
26,300000,MORTGAGE,0.0,EDUCATION,25000,15.33,0,0.08,N,3,18-30,very large,high,0.08333333333333333,0.0,0.0006132
25,300000,MORTGAGE,9.0,HOMEIMPROVEMENT,18000,16.45,0,0.06,N,3,18-30,very large,high,0.06,0.0005,0.0009138888888888889
26,80690,RENT,8.0,PERSONAL,30000,7.49,1,0.37,N,3,18-30,very large,middle,0.37179328293468833,0.0002666666666666667,0.0002496666666666667
22,66300,RENT,4.0,MEDICAL,30000,12.69,1,0.38,N,3,18-30,very large,middle,0.45248868778280543,0.00013333333333333334,0.000423
26,89028,RENT,0.0,DEBTCONSOLIDATION,30000,6.62,1,0.34,N,3,18-30,very large,middle,0.33697263782180886,0.0,0.00022066666666666667
24,78000,RENT,4.0,DEBTCONSOLIDATION,30000,10.99,1,0.38,Y,4,18-30,very large,middle,0.38461538461538464,0.00013333333333333334,0.00036633333333333337
23,78000,RENT,7.0,DEBTCONSOLIDATION,30000,18.62,1,0.38,Y,3,18-30,very large,middle,0.38461538461538464,0.00023333333333333333,0.0006206666666666667
23,92004,RENT,6.0,PERSONAL,30000,15.23,1,0.33,Y,3,18-30,very large,middle,0.32607277944437196,0.0002,0.0005076666666666667
23,97000,RENT,7.0,VENTURE,30000,10.65,1,0.31,N,2,18-30,very large,middle,0.30927835051546393,0.00023333333333333333,0.000355
25,120000,RENT,9.0,EDUCATION,30000,7.9,0,0.25,N,4,18-30,very large,high-middle,0.25,0.0003,0.00026333333333333336
26,280000,RENT,4.0,PERSONAL,10000,15.96,0,0.04,Y,3,18-30,medium,high,0.03571428571428571,0.0004,0.001596
26,277104,RENT,0.0,VENTURE,20000,11.48,0,0.07,N,3,18-30,very large,high,0.07217506784456378,0.0,0.0005740000000000001
23,277000,OWN,3.0,PERSONAL,35000,10.99,0,0.13,N,4,18-30,very large,high,0.1263537906137184,8.571428571428571e-05,0.000314
25,128000,RENT,9.0,PERSONAL,30000,7.29,0,0.23,N,4,18-30,very large,high-middle,0.234375,0.0003,0.000243
24,12000,OWN,2.0,VENTURE,1750,10.99,0,0.15,Y,3,18-30,small,low,0.14583333333333334,0.001142857142857143,0.00628
21,131000,RENT,0.0,VENTURE,30000,5.99,0,0.23,N,4,18-30,very large,high-middle,0.22900763358778625,0.0,0.00019966666666666668
22,275000,OWN,6.0,VENTURE,12000,11.58,0,0.04,N,2,18-30,large,high,0.04363636363636364,0.0005,0.000965
26,263000,MORTGAGE,0.0,EDUCATION,10000,10.99,1,0.04,N,4,18-30,medium,high,0.03802281368821293,0.0,0.001099
25,221850,MORTGAGE,9.0,MEDICAL,25000,15.7,1,0.1,N,2,18-30,very large,high,0.1126887536623845,0.00036,0.000628
22,70000,RENT,6.0,EDUCATION,29100,15.99,1,0.42,N,3,18-30,very large,middle,0.4157142857142857,0.0002061855670103093,0.0005494845360824742
22,12000,MORTGAGE,7.0,EDUCATION,1500,14.84,0,0.13,Y,3,18-30,small,low,0.125,0.004666666666666667,0.009893333333333334
26,260000,OWN,10.0,HOMEIMPROVEMENT,28000,10.99,0,0.11,N,3,18-30,very large,high,0.1076923076923077,0.00035714285714285714,0.0003925
25,259000,MORTGAGE,9.0,HOMEIMPROVEMENT,20000,14.42,0,0.08,Y,2,18-30,very large,high,0.07722007722007722,0.00045,0.000721
24,255000,MORTGAGE,9.0,EDUCATION,9600,6.99,0,0.04,N,2,18-30,medium,high,0.03764705882352941,0.0009375,0.000728125
25,250000,RENT,2.0,MEDICAL,25000,13.49,0,0.1,N,4,18-30,very large,high,0.1,8e-05,0.0005396
25,12000,OWN,0.0,MEDICAL,3000,10.99,1,0.25,N,3,18-30,small,low,0.25,0.0,0.0036633333333333335
22,56950,RENT,6.0,MEDICAL,28000,10.99,1,0.49,N,2,18-30,very large,middle,0.4916593503072871,0.00021428571428571427,0.0003925
21,12000,OWN,6.0,EDUCATION,3000,13.61,1,0.25,Y,3,18-30,small,low,0.25,0.002,0.004536666666666666
23,65000,RENT,2.0,EDUCATION,28000,7.9,1,0.43,N,2,18-30,very large,middle,0.4307692307692308,7.142857142857143e-05,0.00028214285714285716
26,85000,RENT,2.0,VENTURE,28000,7.49,1,0.33,N,3,18-30,very large,middle,0.32941176470588235,7.142857142857143e-05,0.0002675
26,12000,OWN,2.0,EDUCATION,6100,7.51,1,0.51,N,3,18-30,medium,low,0.5083333333333333,0.0003278688524590164,0.0012311475409836066
22,88000,RENT,6.0,VENTURE,28000,9.91,1,0.32,N,3,18-30,very large,middle,0.3181818181818182,0.00021428571428571427,0.00035392857142857144
21,12000,OWN,0.0,PERSONAL,4200,13.48,1,0.35,Y,4,18-30,small,low,0.35,0.0,0.0032095238095238097
22,12000,OWN,6.0,DEBTCONSOLIDATION,4750,7.14,1,0.4,N,2,18-30,small,low,0.3958333333333333,0.0012631578947368421,0.001503157894736842
24,83004,RENT,0.0,VENTURE,28000,15.99,1,0.34,Y,4,18-30,very large,middle,0.33733314057153874,0.0,0.0005710714285714286
24,250000,RENT,2.0,EDUCATION,18000,12.98,0,0.07,Y,3,18-30,very large,high,0.072,0.00011111111111111112,0.0007211111111111112
25,100000,RENT,5.0,DEBTCONSOLIDATION,28000,12.69,0,0.28,N,3,18-30,very large,high-middle,0.28,0.00017857142857142857,0.0004532142857142857
26,110000,RENT,10.0,EDUCATION,28000,8.9,0,0.25,N,2,18-30,very large,high-middle,0.2545454545454545,0.00035714285714285714,0.0003178571428571429
26,12000,OWN,0.0,DEBTCONSOLIDATION,2700,10.99,1,0.23,N,4,18-30,small,low,0.225,0.0,0.00407037037037037
22,108000,RENT,6.0,EDUCATION,28000,10.99,1,0.26,N,4,18-30,very large,high-middle,0.25925925925925924,0.00021428571428571427,0.0003925
23,151200,RENT,7.0,DEBTCONSOLIDATION,28000,11.11,0,0.19,N,2,18-30,very large,high-middle,0.18518518518518517,0.00025,0.00039678571428571427
24,69000,RENT,2.0,HOMEIMPROVEMENT,27600,10.99,1,0.4,N,2,18-30,very large,middle,0.4,7.246376811594203e-05,0.00039818840579710144
21,12000,MORTGAGE,5.0,DEBTCONSOLIDATION,3250,15.68,1,0.27,Y,3,18-30,small,low,0.2708333333333333,0.0015384615384615385,0.004824615384615385
22,70000,RENT,4.0,EDUCATION,27500,13.06,1,0.39,Y,3,18-30,very large,middle,0.39285714285714285,0.00014545454545454546,0.00047490909090909094
22,240000,OWN,6.0,PERSONAL,25000,10.99,0,0.1,N,2,18-30,very large,high,0.10416666666666667,0.00024,0.0004396
26,73200,RENT,5.0,VENTURE,27050,15.62,1,0.37,Y,2,18-30,very large,middle,0.36953551912568305,0.00018484288354898336,0.000577449168207024
24,83000,RENT,5.0,PERSONAL,27000,13.49,1,0.33,Y,2,18-30,very large,middle,0.3253012048192771,0.00018518518518518518,0.0004996296296296296
24,73399,RENT,0.0,VENTURE,27000,10.99,1,0.37,N,3,18-30,very large,middle,0.36785242305753485,0.0,0.000407037037037037
23,62500,RENT,7.0,MEDICAL,26000,11.71,1,0.42,N,2,18-30,very large,middle,0.416,0.0002692307692307692,0.0004503846153846154
23,120000,RENT,1.0,EDUCATION,25600,12.69,0,0.21,N,3,18-30,very large,high-middle,0.21333333333333335,3.90625e-05,0.0004957031249999999
24,12360,OWN,2.0,MEDICAL,1600,13.57,0,0.13,N,3,18-30,small,low,0.12944983818770225,0.00125,0.008481250000000001
22,60000,RENT,0.0,VENTURE,25475,10.99,1,0.42,N,3,18-30,very large,middle,0.4245833333333333,0.0,0.00043140333660451424
25,234000,MORTGAGE,3.0,MEDICAL,20000,14.27,0,0.09,Y,4,18-30,very large,high,0.08547008547008547,0.00015,0.0007134999999999999
24,234000,OWN,8.0,HOMEIMPROVEMENT,20000,8.88,0,0.09,N,4,18-30,very large,high,0.08547008547008547,0.0004,0.00044400000000000006
26,234000,MORTGAGE,10.0,HOMEIMPROVEMENT,21600,12.18,0,0.09,N,3,18-30,very large,high,0.09230769230769231,0.000462962962962963,0.0005638888888888888
25,221004,MORTGAGE,6.0,DEBTCONSOLIDATION,11900,14.42,1,0.05,Y,3,18-30,large,high,0.053845179272773346,0.0005042016806722689,0.001211764705882353
26,232500,MORTGAGE,0.0,MEDICAL,25000,14.17,0,0.11,Y,2,18-30,very large,high,0.10752688172043011,0.0,0.0005668
25,230000,MORTGAGE,5.0,MEDICAL,35000,13.99,0,0.15,N,4,18-30,very large,high,0.15217391304347827,0.00014285714285714287,0.00039971428571428574
23,83000,RENT,7.0,EDUCATION,25300,10.99,1,0.3,N,3,18-30,very large,middle,0.30481927710843376,0.0002766798418972332,0.0004343873517786561
22,12600,MORTGAGE,4.0,PERSONAL,2000,5.42,1,0.16,N,4,18-30,small,low,0.15873015873015872,0.002,0.00271
25,12600,OWN,3.0,PERSONAL,1750,13.61,0,0.14,N,3,18-30,small,low,0.1388888888888889,0.0017142857142857142,0.007777142857142857
21,42500,RENT,3.0,EDUCATION,25000,12.73,1,0.59,Y,3,18-30,very large,low-middle,0.5882352941176471,0.00012,0.0005092
24,41000,RENT,2.0,HOMEIMPROVEMENT,25000,10.99,1,0.61,N,3,18-30,very large,low-middle,0.6097560975609756,8e-05,0.0004396
25,12816,OWN,0.0,DEBTCONSOLIDATION,3000,12.87,1,0.23,Y,4,18-30,small,low,0.2340823970037453,0.0,0.0042899999999999995
24,12960,MORTGAGE,1.0,HOMEIMPROVEMENT,3650,9.91,1,0.28,N,3,18-30,small,low,0.2816358024691358,0.000273972602739726,0.002715068493150685
26,226000,MORTGAGE,4.0,HOMEIMPROVEMENT,20000,11.49,0,0.09,N,4,18-30,very large,high,0.08849557522123894,0.0002,0.0005745
25,225000,MORTGAGE,0.0,HOMEIMPROVEMENT,30000,19.91,0,0.13,Y,2,18-30,very large,high,0.13333333333333333,0.0,0.0006636666666666667
26,213000,MORTGAGE,6.0,EDUCATION,35000,10.65,1,0.16,N,2,18-30,very large,high,0.1643192488262911,0.00017142857142857143,0.0003042857142857143
24,225000,RENT,0.0,MEDICAL,6000,10.99,0,0.03,N,4,18-30,medium,high,0.02666666666666667,0.0,0.0018316666666666668
24,12960,MORTGAGE,0.0,DEBTCONSOLIDATION,4500,11.83,1,0.35,N,4,18-30,small,low,0.3472222222222222,0.0,0.002628888888888889
23,12996,OWN,0.0,DEBTCONSOLIDATION,2400,13.49,1,0.18,Y,2,18-30,small,low,0.18467220683287167,0.0,0.005620833333333334
22,42000,RENT,6.0,MEDICAL,25000,14.59,1,0.6,Y,2,18-30,very large,low-middle,0.5952380952380952,0.00024,0.0005836
26,48000,RENT,2.0,EDUCATION,25000,9.64,1,0.52,N,4,18-30,very large,low-middle,0.5208333333333334,8e-05,0.00038560000000000005
25,12996,OWN,1.0,MEDICAL,3600,14.59,1,0.28,N,3,18-30,small,low,0.2770083102493075,0.0002777777777777778,0.0040527777777777775
22,12996,OWN,1.0,EDUCATION,4750,10.99,1,0.37,N,3,18-30,small,low,0.3654970760233918,0.0002105263157894737,0.002313684210526316
25,42360,RENT,1.0,EDUCATION,25000,16.35,1,0.59,Y,3,18-30,very large,low-middle,0.5901794145420207,4e-05,0.0006540000000000001
21,49000,RENT,4.0,EDUCATION,25000,10.99,1,0.51,N,2,18-30,very large,low-middle,0.5102040816326531,0.00016,0.0004396
25,225000,MORTGAGE,0.0,VENTURE,25000,18.67,0,0.11,N,2,18-30,very large,high,0.1111111111111111,0.0,0.0007468
26,225000,RENT,1.0,EDUCATION,3000,9.32,0,0.01,N,4,18-30,small,high,0.013333333333333334,0.0003333333333333333,0.003106666666666667
23,225000,RENT,8.0,DEBTCONSOLIDATION,7500,8.63,0,0.03,N,2,18-30,medium,high,0.03333333333333333,0.0010666666666666667,0.0011506666666666668
26,225000,MORTGAGE,2.0,VENTURE,25000,10.08,0,0.11,N,2,18-30,very large,high,0.1111111111111111,8e-05,0.0004032
22,49464,RENT,5.0,PERSONAL,25000,11.83,1,0.51,N,3,18-30,very large,low-middle,0.5054180818372959,0.0002,0.0004732
23,50000,RENT,1.0,DEBTCONSOLIDATION,25000,7.9,1,0.5,N,3,18-30,very large,middle,0.5,4e-05,0.00031600000000000004
25,50000,RENT,4.0,HOMEIMPROVEMENT,25000,5.99,1,0.5,N,2,18-30,very large,middle,0.5,0.00016,0.0002396
24,44000,RENT,2.0,DEBTCONSOLIDATION,25000,15.33,1,0.57,N,2,18-30,very large,low-middle,0.5681818181818182,8e-05,0.0006132
23,50000,RENT,1.0,VENTURE,25000,11.83,1,0.5,N,4,18-30,very large,middle,0.5,4e-05,0.0004732
22,50004,RENT,0.0,VENTURE,25000,10.36,1,0.5,N,2,18-30,very large,middle,0.49996000319974404,0.0,0.0004144
22,50004,RENT,3.0,VENTURE,25000,12.23,1,0.5,N,3,18-30,very large,middle,0.49996000319974404,0.00012,0.0004892
22,52000,RENT,2.0,EDUCATION,25000,11.11,1,0.48,N,4,18-30,very large,middle,0.4807692307692308,8e-05,0.00044439999999999996
23,13200,OWN,3.0,DEBTCONSOLIDATION,4950,7.9,1,0.38,N,4,18-30,small,low,0.375,0.0006060606060606061,0.001595959595959596
24,220000,MORTGAGE,1.0,EDUCATION,25000,11.58,0,0.11,N,2,18-30,very large,high,0.11363636363636363,4e-05,0.0004632
23,216000,MORTGAGE,5.0,DEBTCONSOLIDATION,21000,8.9,0,0.1,N,3,18-30,very large,high,0.09722222222222222,0.0002380952380952381,0.00042380952380952384
25,216000,MORTGAGE,2.0,EDUCATION,25000,16.07,0,0.12,N,3,18-30,very large,high,0.11574074074074074,8e-05,0.0006428
26,216000,MORTGAGE,10.0,EDUCATION,20000,14.22,0,0.09,Y,2,18-30,very large,high,0.09259259259259259,0.0005,0.000711
23,215000,MORTGAGE,7.0,MEDICAL,35000,14.79,0,0.16,Y,3,18-30,very large,high,0.16279069767441862,0.0002,0.00042257142857142857
26,215000,MORTGAGE,11.0,EDUCATION,12000,7.88,0,0.06,N,2,18-30,large,high,0.05581395348837209,0.0009166666666666666,0.0006566666666666666
23,52000,RENT,1.0,PERSONAL,25000,13.22,1,0.48,N,2,18-30,very large,middle,0.4807692307692308,4e-05,0.0005288000000000001
26,46000,RENT,2.0,DEBTCONSOLIDATION,25000,11.86,1,0.54,N,4,18-30,very large,low-middle,0.5434782608695652,8e-05,0.0004744
22,53000,RENT,5.0,EDUCATION,25000,13.43,1,0.47,Y,4,18-30,very large,middle,0.4716981132075472,0.0002,0.0005371999999999999
26,47000,RENT,0.0,HOMEIMPROVEMENT,25000,15.28,1,0.53,Y,2,18-30,very large,low-middle,0.5319148936170213,0.0,0.0006112
23,47000,RENT,1.0,VENTURE,25000,17.93,1,0.53,N,2,18-30,very large,low-middle,0.5319148936170213,4e-05,0.0007172
23,13200,MORTGAGE,2.0,EDUCATION,1400,9.25,0,0.11,N,4,18-30,small,low,0.10606060606060606,0.0014285714285714286,0.0066071428571428574
21,13200,OWN,0.0,VENTURE,4500,12.98,1,0.34,N,4,18-30,small,low,0.3409090909090909,0.0,0.0028844444444444447
22,210000,MORTGAGE,6.0,VENTURE,16000,10.62,0,0.08,N,4,18-30,very large,high,0.0761904761904762,0.000375,0.00066375
26,210000,OWN,10.0,PERSONAL,22000,11.83,0,0.1,N,4,18-30,very large,high,0.10476190476190476,0.00045454545454545455,0.0005377272727272727
26,48000,RENT,5.0,VENTURE,25000,18.43,1,0.52,N,2,18-30,very large,low-middle,0.5208333333333334,0.0002,0.0007372
22,54996,RENT,6.0,EDUCATION,25000,10.99,1,0.45,N,4,18-30,very large,middle,0.4545785148010764,0.00024,0.0004396
24,55000,RENT,4.0,HOMEIMPROVEMENT,25000,10.99,1,0.45,Y,4,18-30,very large,middle,0.45454545454545453,0.00016,0.0004396
23,55000,RENT,4.0,EDUCATION,25000,11.36,1,0.45,N,3,18-30,very large,middle,0.45454545454545453,0.00016,0.0004544
23,55000,RENT,4.0,EDUCATION,25000,15.65,1,0.45,Y,3,18-30,very large,middle,0.45454545454545453,0.00016,0.000626
24,55164,RENT,8.0,PERSONAL,25000,13.22,1,0.45,Y,4,18-30,very large,middle,0.4531941121020956,0.00032,0.0005288000000000001
26,56000,RENT,4.0,DEBTCONSOLIDATION,25000,12.87,1,0.45,N,2,18-30,very large,middle,0.44642857142857145,0.00016,0.0005147999999999999
24,203500,OWN,8.0,MEDICAL,20000,13.04,0,0.1,N,3,18-30,very large,high,0.09828009828009827,0.0004,0.0006519999999999999
23,190000,MORTGAGE,5.0,EDUCATION,22000,17.58,1,0.12,Y,3,18-30,very large,high-middle,0.11578947368421053,0.00022727272727272727,0.000799090909090909
23,13920,OWN,2.0,PERSONAL,7750,17.04,1,0.56,N,4,18-30,medium,low,0.5567528735632183,0.00025806451612903227,0.0021987096774193546
24,60000,RENT,0.0,PERSONAL,25000,10.99,1,0.42,N,3,18-30,very large,middle,0.4166666666666667,0.0,0.0004396
24,60000,RENT,2.0,PERSONAL,25000,11.11,1,0.42,N,3,18-30,very large,middle,0.4166666666666667,8e-05,0.00044439999999999996
26,54000,RENT,7.0,DEBTCONSOLIDATION,25000,14.83,1,0.46,Y,2,18-30,very large,middle,0.46296296296296297,0.00028,0.0005932
23,14000,OWN,2.0,DEBTCONSOLIDATION,4000,10.99,1,0.29,N,3,18-30,small,low,0.2857142857142857,0.0005,0.0027475
24,200000,RENT,8.0,MEDICAL,12000,12.69,0,0.06,N,2,18-30,large,high,0.06,0.0006666666666666666,0.0010575
24,200000,MORTGAGE,8.0,HOMEIMPROVEMENT,12000,13.49,0,0.06,N,2,18-30,large,high,0.06,0.0006666666666666666,0.0011241666666666668
21,200000,MORTGAGE,5.0,EDUCATION,16000,14.65,0,0.08,N,4,18-30,very large,high,0.08,0.0003125,0.000915625
25,54000,RENT,3.0,HOMEIMPROVEMENT,25000,16.82,1,0.46,N,4,18-30,very large,middle,0.46296296296296297,0.00012,0.0006728
23,60000,RENT,3.0,PERSONAL,25000,12.73,1,0.42,N,3,18-30,very large,middle,0.4166666666666667,0.00012,0.0005092
23,60000,RENT,7.0,PERSONAL,25000,10.25,1,0.42,N,4,18-30,very large,middle,0.4166666666666667,0.00028,0.00041
21,60000,RENT,6.0,EDUCATION,25000,10.99,1,0.42,N,4,18-30,very large,middle,0.4166666666666667,0.00024,0.0004396
25,61959,RENT,9.0,MEDICAL,25000,12.73,1,0.4,N,2,18-30,very large,middle,0.4034926322245356,0.00036,0.0005092
22,56400,RENT,2.0,HOMEIMPROVEMENT,25000,14.96,1,0.44,Y,3,18-30,very large,middle,0.4432624113475177,8e-05,0.0005984
23,200000,MORTGAGE,7.0,EDUCATION,28000,10.99,0,0.14,N,2,18-30,very large,high,0.14,0.00025,0.0003925
21,200000,MORTGAGE,2.0,DEBTCONSOLIDATION,25000,13.99,0,0.13,N,2,18-30,very large,high,0.125,8e-05,0.0005596
24,200000,MORTGAGE,3.0,VENTURE,24000,7.49,0,0.12,N,4,18-30,very large,high,0.12,0.000125,0.0003120833333333333
26,200000,MORTGAGE,4.0,EDUCATION,15000,14.79,0,0.07,N,3,18-30,large,high,0.075,0.0002666666666666667,0.000986
25,200000,MORTGAGE,2.0,DEBTCONSOLIDATION,15500,11.99,0,0.08,N,2,18-30,very large,high,0.0775,0.00012903225806451613,0.0007735483870967742
24,200000,RENT,8.0,EDUCATION,10000,8.49,0,0.05,N,4,18-30,medium,high,0.05,0.0008,0.000849
24,66000,RENT,3.0,EDUCATION,25000,9.91,1,0.38,N,2,18-30,very large,middle,0.3787878787878788,0.00012,0.0003964
22,66000,RENT,6.0,EDUCATION,25000,13.06,1,0.38,Y,3,18-30,very large,middle,0.3787878787878788,0.00024,0.0005224
22,200000,MORTGAGE,6.0,DEBTCONSOLIDATION,9000,6.17,0,0.04,N,4,18-30,medium,high,0.045,0.0006666666666666666,0.0006855555555555556
25,200000,RENT,5.0,EDUCATION,18000,16.32,0,0.09,N,3,18-30,very large,high,0.09,0.0002777777777777778,0.0009066666666666667
25,200000,MORTGAGE,2.0,VENTURE,12000,10.38,0,0.06,N,2,18-30,large,high,0.06,0.00016666666666666666,0.0008650000000000001
25,200000,MORTGAGE,9.0,PERSONAL,23050,14.35,0,0.12,N,3,18-30,very large,high,0.11525,0.0003904555314533623,0.0006225596529284165
24,200000,MORTGAGE,8.0,DEBTCONSOLIDATION,20000,10.99,0,0.1,N,3,18-30,very large,high,0.1,0.0004,0.0005495
24,60000,RENT,2.0,DEBTCONSOLIDATION,25000,10.99,1,0.42,Y,2,18-30,very large,middle,0.4166666666666667,8e-05,0.0004396
21,14400,OWN,0.0,HOMEIMPROVEMENT,3000,10.99,1,0.21,N,4,18-30,small,low,0.20833333333333334,0.0,0.0036633333333333335
26,66996,RENT,10.0,PERSONAL,25000,15.21,1,0.37,Y,2,18-30,very large,middle,0.37315660636455905,0.0004,0.0006084
